disease_name,symptoms,cure
Depression,Persistent Sadness  Fatigue  Sleep Issues,"Seek therapy, engage in physical activity, practice mindfulness, and take prescribed antidepressants if needed."
Anxiety,Excessive Worry  Rapid Heartbeat  Sweating,"Practice deep breathing, engage in relaxation exercises, and consider therapy or medications if severe."
Schizophrenia,Hallucinations  Disorganized Thinking  Delusions,"Take prescribed antipsychotic medications, undergo therapy, and maintain a strong support system."
Insomnia,Difficulty Sleeping  Fatigue  Irritability,"Establish a bedtime routine, avoid caffeine before sleep, and take melatonin or sleep aids if needed."
Skin Allergies,Itchy Rash  Swelling  Redness,"Apply antihistamine creams, take allergy medications, and avoid triggers."
Eczema,Dry Skin  Itching  Redness,"Use hypoallergenic moisturizers, avoid irritants, and apply prescription topical steroids if necessary."
Psoriasis,Scaly Patches  Itchy Skin  Redness,"Use medicated creams, light therapy, and take prescribed immune-modulating drugs."
Acne,Pimples  Oily Skin  Redness,"Use benzoyl peroxide or salicylic acid treatments, maintain skin hygiene, and avoid oily cosmetics."
UTI,Painful Urination  Frequent Urge to Urinate  Lower Abdominal Pain,"Drink plenty of water, take prescribed antibiotics, and maintain good hygiene."
Kidney Stones,Severe Pain in Side  Blood in Urine  Vomiting,"Drink lots of water, take pain relievers, and undergo lithotripsy or surgery if necessary."
Common Cold ,cough sore throat congestion ,"Rest, drink fluids, use over-the-counter decongestants, take pain relievers like acetaminophen or ibuprofen, and use throat lozenges. If symptoms persist, consult a doctor."
Flu ,fever chills muscle aches fatigue,"Rest, drink plenty of fluids, take antiviral medications (e.g., oseltamivir) within 48 hours of onset, and use over-the-counter fever reducers."
Stomach Flu ,nausea vomiting diarrhea stomach cramps,"Stay hydrated with water, clear soups, or oral rehydration solutions. Avoid solid food until symptoms subside. Medications like anti-nausea drugs may help, but see a doctor if dehydration occurs."
Allergic Rhinitis ,sneezing runny nose itchy eyes nasal congestion,"Use antihistamines (e.g., loratadine, cetirizine), nasal corticosteroids (e.g., fluticasone), avoid allergens, and consider allergy shots for long-term relief."
Asthma ,wheezing shortness of breath chest tightness,"Use bronchodilators (e.g., albuterol) as prescribed, inhaled corticosteroids (e.g., fluticasone), avoid triggers, and engage in regular exercise to improve lung function."
Diabetes Type 1,increased thirst frequent urination fatigue weight loss,"Insulin therapy is essential, monitor blood sugar regularly, follow a healthy diet, and engage in physical activity to maintain blood sugar levels."
Diabetes Type 2 ,increased thirst frequent urination fatigue blurred vision,"Lifestyle changes (diet and exercise), oral medications like metformin, and possibly insulin therapy. Regular blood sugar monitoring is crucial."
Hypertension ,headaches dizziness chest pain,"Monitor blood pressure regularly, take prescribed antihypertensive medications (e.g., ACE inhibitors, beta-blockers), and adopt a healthy diet low in salt and rich in fruits and vegetables."
Heart Attack,chest pain shortness of breath nausea,"Immediate emergency care, medications like aspirin and blood thinners, possibly surgery like angioplasty or coronary artery bypass grafting (CABG) depending on the severity."
Stroke ,sudden numbness confusion difficulty speaking severe headache,"Immediate medical attention, clot-busting medications (e.g., tPA), surgery for hemorrhagic strokes, and rehabilitation therapies to regain lost skills."
Chickenpox ,rash fever fatigue,"Symptomatic treatment (calamine lotion, acetaminophen), antiviral medications (e.g., acyclovir) for severe cases, avoid scratching to prevent scarring."
Measles ,cough rash fever red eyes,"Supportive care with fever reducers, vitamin A supplements, and keeping hydrated. Seek medical attention if symptoms worsen."
Tuberculosis ,cough weight loss night sweats fever,"Long-term antibiotic therapy (e.g., rifampin, isoniazid), treatment duration usually 6-9 months, and close monitoring by healthcare providers."
Bronchitis ,persistent cough wheezing chest discomfort,"Symptomatic treatment with cough suppressants, hydration, and over-the-counter pain relievers. Antibiotics may be prescribed if bacterial infection is suspected."
Pneumonia ,cough fever shortness of breath chest pain,"Antibiotics (for bacterial cases), antivirals (for viral causes), oxygen therapy if needed, rest, and plenty of fluids."
Chronic Obstructive Pulmonary Disease (COPD) ,chronic cough shortness of breath wheezing,"Bronchodilators, corticosteroids, oxygen therapy, smoking cessation, pulmonary rehabilitation programs, and avoiding irritants."
Sinusitis,nasal congestion facial pain headache,"Nasal decongestants, saline nasal sprays, and antibiotics if the infection is bacterial. Surgery may be needed for chronic cases."
Gastroesophageal Reflux Disease (GERD) ,heartburn regurgitation chest pain,"Antacids, proton pump inhibitors (e.g., omeprazole), H2 blockers, and lifestyle changes such as avoiding large meals and not lying down after eating."
Ulcerative Colitis ,abdominal pain diarrhea blood in stool,"Anti-inflammatory medications (e.g., mesalamine), immunosuppressants (e.g., azathioprine), and in severe cases, surgery (colectomy)."
Crohn's Disease,abdominal pain diarrhea weight loss fatigue,"Anti-inflammatory medications (e.g., corticosteroids), immunosuppressants, antibiotics, and sometimes surgery if complications occur."
Gallstones,abdominal pain nausea vomiting,"Surgical removal of the gallbladder (cholecystectomy), medications to dissolve stones, and dietary changes."
Appendicitis ,abdominal pain nausea vomiting fever,Immediate surgery to remove the appendix (appendectomy) is the standard treatment.
Hepatitis A ,fatigue nausea jaundice,"Rest, hydration, and a healthy diet. Hepatitis A usually resolves on its own, but avoid alcohol and consult a doctor."
Hepatitis B ,fatigue nausea jaundice abdominal pain,"Antiviral medications, regular monitoring of liver function, and vaccination for prevention in at-risk individuals."
Hepatitis C ,fatigue nausea jaundice abdominal pain,"Direct-acting antivirals (e.g., sofosbuvir, ledipasvir), and regular liver function monitoring."
Kidney Stones ,severe pain in the back blood in urine nausea,"Pain relievers, increased water intake, and sometimes surgery (lithotripsy) or procedures to remove stones."
Urinary Tract Infection (UTI),frequent urination burning sensation blood in urine,"Antibiotics (e.g., trimethoprim-sulfamethoxazole), hydration, and urinating after intercourse."
Bladder Infection ,frequent urination burning sensation cloudy urine,"Antibiotics (e.g., nitrofurantoin), hydration, and avoiding irritants like caffeine and alcohol."
Prostatitis,pelvic pain painful urination fever,"Antibiotics for bacterial infection, pain relievers, and sometimes alpha-blockers to relieve urinary symptoms."
Chronic Kidney Disease ,fatigue swollen ankles frequent urination,"Blood pressure control, diet modification (low sodium, low potassium), dialysis, or kidney transplant in severe cases."
Anemia fatigue ,pale skin shortness of breath,"Iron supplements, vitamin B12 injections, folic acid supplementation, and dietary changes."
Thyroid Disorders ,weight gain loss fatigue hair thinning,"Thyroid hormone replacement therapy for hypothyroidism, antithyroid medications for hyperthyroidism, and sometimes surgery."
Hyperthyroidism ,weight loss rapid heartbeats sweating,"Antithyroid medications (e.g., methimazole), radioactive iodine therapy, or thyroidectomy."
Hypothyroidism ,weight gain fatigue cold intolerance,"Thyroid hormone replacement (e.g., levothyroxine)."
Osteoarthritis ,joint pain stiffness swelling,"Pain relievers (e.g., acetaminophen, NSAIDs), physical therapy, joint injections, and sometimes joint replacement surgery."
Rheumatoid Arthritis,joint pain swelling stiffness fatigue,"DMARDs (e.g., methotrexate), biologics (e.g., TNF inhibitors), and corticosteroids."
Fibromyalgia ,widespread pain fatigue sleep disturbances,"Pain relievers, antidepressants (e.g., duloxetine), cognitive-behavioral therapy, and regular exercise."
Multiple Sclerosis ,vision problems muscle weakness numbness,"Disease-modifying therapies (e.g., interferon beta), corticosteroids for flare-ups, and physical therapy."
Parkinson's Disease ,tremors bradykinesia postural instability,"Dopamine replacement therapy (e.g., levodopa), physical therapy, and deep brain stimulation."
Alzheimer's Disease,memory loss confusion difficulty completing tasks,"Cholinesterase inhibitors (e.g., donepezil), NMDA receptor antagonists (e.g., memantine), and supportive care."
Depression ,sadness loss of interest fatigue,"Antidepressants (e.g., SSRIs), psychotherapy (e.g., cognitive behavioral therapy), and lifestyle changes."
Anxiety ,excessive worry restlessness difficulty concentrating,"Anxiolytics (e.g., diazepam), therapy (e.g., CBT), relaxation techniques, and lifestyle changes."
Schizophrenia ,delusions hallucinations disorganized thinking,"Antipsychotic medications (e.g., olanzapine), therapy, and social support."
Bipolar Disorder ,mood swings extreme highs and lows,"Mood stabilizers (e.g., lithium), antipsychotics, psychotherapy, and lifestyle modifications."
Obsessive-Compulsive Disorder (OCD) ,intrusive thoughts compulsive behaviors,"Cognitive-behavioral therapy (CBT), selective serotonin reuptake inhibitors (SSRIs), and sometimes exposure therapy."
Post-Traumatic Stress Disorder (PTSD), flashbacks nightmares anxiety,"Cognitive-behavioral therapy (CBT), medication (SSRIs), exposure therapy, and support groups."
Insomnia ,difficulty falling asleep staying asleep,"Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene, medication (e.g., melatonin or benzodiazepines) for short-term use."
Restless Leg Syndrome ,urge to move legs discomfort at night,"Dopamine agonists (e.g., pramipexole), iron supplements, and lifestyle changes."
Psoriasis ,red patches with silvery scales itching,"Topical treatments (e.g., steroids, vitamin D analogs), phototherapy, and systemic medications (e.g., methotrexate)."
Acne ,pimples blackheads oily skin,"Topical treatments (benzoyl peroxide, retinoids), oral antibiotics, and hormonal therapy."
Psoriatic Arthritis ,joint pain stiffness red scaly patches on the skin,"NSAIDs, DMARDs (e.g., methotrexate), biologics, and physical therapy."
Cellulitis,red swollen skin pain fever,"Antibiotics (e.g., penicillin), wound care, and rest."
Herpes Simplex Virus (HSV) ,cold sores blisters,"Antiviral medications (e.g., acyclovir, valacyclovir), pain relievers, and avoiding triggers."
Shingles ,painful rash blisters burning sensation,"Antiviral medications (e.g., acyclovir), pain relievers, and sometimes corticosteroids."
Lyme Disease ,rash fever headache fatigue,"Antibiotics (e.g., doxycycline) if caught early, and symptom management."
Malaria ,chills fever sweating fatigue,"Antimalarial medications (e.g., chloroquine, artemisinin-based treatments)."
Typhoid Fever ,fever abdominal pain weakness,"Antibiotics (e.g., ciprofloxacin, ceftriaxone), and hydration."
Whooping Cough ,severe coughing fits wheezing,"Antibiotics, cough medications, and supportive care."
Dengue Fever ,fever joint pain rash,"Supportive care (hydration, pain relievers), and rest."
Zika Virus ,fever rash joint pain,"Symptomatic treatment (hydration, fever relievers), avoid mosquito bites."
COVID-19 ,fever cough shortness of breath fatigue,"Rest, hydration, antiviral medications (e.g., remdesivir), oxygen therapy for severe cases."
Strep Throat ,sore throat fever swollen lymph nodes,"Antibiotics (e.g., penicillin), pain relievers, and rest."
Conjunctivitis (Pink Eye) ,redness itching watery eyes,"Antibiotics (for bacterial cases), antihistamines (for allergic cases), and warm compresses."
Concussion ,headache nausea dizziness confusion,"Rest, avoid strenuous activity, and monitor for worsening symptoms. Seek medical attention if symptoms persist."
Fracture ,pain swelling bruising inability to move,"Immobilization (cast or splint), pain management, surgery for complex fractures."
Sprains and Strains ,pain swelling bruising,"Rest, ice, compression, and elevation (R.I.C.E.), pain relievers."
Tendonitis ,pain swelling tenderness,"Rest, ice, anti-inflammatory medications, physical therapy."
Carpal Tunnel Syndrome ,numbness tingling pain in hand,"Wrist splints, physical therapy, corticosteroid injections, and sometimes surgery."
COVID-19,cough  fever  difficulty breathing,"Rest, hydration, fever reducers like acetaminophen, antivirals (Paxlovid, Remdesivir), oxygen therapy for severe cases."
HIV/AIDS,weak immune system  recurrent infections,"Antiretroviral therapy (ART), regular monitoring, healthy diet, and infection prevention."
Tuberculosis,chronic cough  night sweats  weight loss,"Long-term antibiotics (Isoniazid, Rifampin, Pyrazinamide, Ethambutol), proper ventilation."
Malaria,chills  sweating  high fever,"Antimalarial drugs (Chloroquine, Artemisinin-based therapies), mosquito prevention."
Hepatitis B,jaundice  liver pain  fatigue,"Antiviral medications (Tenofovir, Entecavir), liver monitoring, vaccination for prevention."
Influenza,body aches  sore throat  fever,"Antivirals (Oseltamivir, Zanamivir), rest, hydration, flu vaccine for prevention."
Dengue Fever,severe headache  joint pain  rash,"Supportive care, fluids, acetaminophen (avoid NSAIDs), mosquito prevention."
Ebola,bleeding  high fever  vomiting,"Supportive care (IV fluids, electrolytes), monoclonal antibodies (Inmazeb), strict isolation."
Zika Virus,rash  fever  joint pain  red eyes,"Symptomatic relief (rest, hydration, pain relievers), mosquito control."
Cholera,severe diarrhea  dehydration,"Oral rehydration therapy (ORT), IV fluids, antibiotics (Doxycycline, Azithromycin)."
Typhoid Fever,high fever  abdominal pain  weakness,"Antibiotics (Ciprofloxacin, Azithromycin), hydration, proper sanitation."
Plague,swollen lymph nodes  fever  chills,"Antibiotics (Streptomycin, Doxycycline), early detection, flea control."
Meningitis,stiff neck  fever  headache,"Antibiotics (Ceftriaxone, Vancomycin), corticosteroids, vaccination."
Sepsis,high heart rate  confusion  fever,"IV antibiotics, fluids, oxygen therapy, hospitalization."
Lyme Disease,bullseye rash  joint pain  fatigue,"Antibiotics (Doxycycline, Amoxicillin), early treatment is crucial."
Rabies,hydrophobia  paralysis  fever,"Rabies vaccine, post-exposure prophylaxis (PEP), immediate wound care."
Measles,rash  high fever  cough,"Supportive care, Vitamin A, MMR vaccine for prevention."
Tetanus,muscle stiffness  lockjaw,"Tetanus immunoglobulin, antibiotics (Metronidazole), muscle relaxants."
Diphtheria,sore throat  difficulty breathing,"Diphtheria antitoxin, antibiotics (Erythromycin, Penicillin), vaccination."
Pertussis (Whooping Cough),severe cough  vomiting,"Antibiotics (Azithromycin, Clarithromycin), vaccination (DTaP)."
Cardiovascular Disease,chest pain  shortness of breath,"Lifestyle changes, statins, beta-blockers, aspirin, surgery if needed."
Diabetes,excessive thirst  frequent urination,"Insulin therapy (Type 1), oral medications (Metformin), lifestyle modifications."
COPD,chronic cough  shortness of breath,"Bronchodilators, steroids, oxygen therapy, smoking cessation."
Asthma,wheezing  breathlessness,"Inhalers (Albuterol, Steroids), avoid triggers, allergy management."
Alzheimer's,memory loss  confusion,"Medications (Donepezil, Memantine), cognitive therapy, caregiver support."
Kidney Disease,swelling  high blood pressure,"Dialysis, blood pressure control, kidney transplant in severe cases."
Liver Cirrhosis,jaundice  swelling  confusion,"Avoid alcohol, diuretics, liver transplant in end-stage cases."
Parkinson's,tremors  muscle stiffness,"Dopamine agonists (Levodopa, Carbidopa), physical therapy."
Arthritis,joint pain  stiffness,"Pain relievers (NSAIDs), physical therapy, joint injections."
Obesity,weight gain  difficulty in movement,"Lifestyle changes, diet modifications, exercise, weight-loss surgery."
Depression,persistent sadness  loss of interest,"Therapy (CBT), antidepressants (SSRIs, SNRIs), lifestyle changes."
Schizophrenia,hallucinations  delusions,"Antipsychotic medications (Risperidone, Olanzapine), therapy."
Epilepsy,seizures  confusion,"Antiepileptic drugs (Carbamazepine, Valproate), vagus nerve stimulation."
Hypertension,high blood pressure  dizziness,"Lifestyle changes, antihypertensive drugs (ACE inhibitors, Beta-blockers)."
Stroke,weakness on one side  slurred speech,"Clot-busting drugs (tPA), rehabilitation therapy, lifestyle changes."
Heart Attack,chest pain  left arm pain,"Aspirin, clot dissolvers, angioplasty, heart-healthy lifestyle."
Osteoporosis,weak bones  frequent fractures,"Calcium, Vitamin D, bisphosphonates, weight-bearing exercises."
Migraines,severe headaches  nausea,"Pain relievers, triptans, lifestyle changes to avoid triggers."
Heatstroke,high body temperature  confusion,"Cooling techniques (ice packs, hydration, medical emergency care)."
Hypothermia,shivering  slurred speech,"Gradual rewarming, heated blankets, IV fluids."
Dehydration,dizziness  dry mouth  weakness,"Oral rehydration therapy, IV fluids in severe cases."
Neonatal Jaundice,yellow skin  drowsiness,"Phototherapy, adequate feeding, monitoring bilirubin levels."
